Training Log
==============================
Final Test Accuracy: 88.18%
Final Test Loss: 0.3889

Epoch Details:
Epoch 1: Train Loss=0.5861, Train Acc=0.8017, Val Loss=0.5820, Val Acc=0.8031
Epoch 2: Train Loss=0.4287, Train Acc=0.8534, Val Loss=0.4389, Val Acc=0.8541
Epoch 3: Train Loss=0.3957, Train Acc=0.8665, Val Loss=0.4467, Val Acc=0.8533
Epoch 4: Train Loss=0.3699, Train Acc=0.8761, Val Loss=0.4343, Val Acc=0.8568
Epoch 5: Train Loss=0.3540, Train Acc=0.8804, Val Loss=0.4073, Val Acc=0.8627
Epoch 6: Train Loss=0.3448, Train Acc=0.8853, Val Loss=0.3866, Val Acc=0.8660
Epoch 7: Train Loss=0.3343, Train Acc=0.8900, Val Loss=0.3874, Val Acc=0.8682
Epoch 8: Train Loss=0.3268, Train Acc=0.8935, Val Loss=0.4154, Val Acc=0.8653
Epoch 9: Train Loss=0.3158, Train Acc=0.8960, Val Loss=0.3938, Val Acc=0.8720
Epoch 10: Train Loss=0.3128, Train Acc=0.8982, Val Loss=0.4375, Val Acc=0.8671
Epoch 11: Train Loss=0.3085, Train Acc=0.8994, Val Loss=0.4147, Val Acc=0.8688
Epoch 12: Train Loss=0.3019, Train Acc=0.9026, Val Loss=0.3668, Val Acc=0.8789
Epoch 13: Train Loss=0.2974, Train Acc=0.9052, Val Loss=0.3940, Val Acc=0.8793
Epoch 14: Train Loss=0.2939, Train Acc=0.9065, Val Loss=0.4117, Val Acc=0.8665
Epoch 15: Train Loss=0.2863, Train Acc=0.9097, Val Loss=0.3867, Val Acc=0.8828
Epoch 16: Train Loss=0.2855, Train Acc=0.9101, Val Loss=0.3940, Val Acc=0.8799
Epoch 17: Train Loss=0.2877, Train Acc=0.9104, Val Loss=0.4485, Val Acc=0.8694
Epoch 18: Train Loss=0.2874, Train Acc=0.9122, Val Loss=0.4166, Val Acc=0.8762
Epoch 19: Train Loss=0.2801, Train Acc=0.9164, Val Loss=0.3895, Val Acc=0.8843
Epoch 20: Train Loss=0.2762, Train Acc=0.9164, Val Loss=0.3889, Val Acc=0.8818
